uid,easy_attempts,easy_correct,easy_hints,hard_attempts,hard_correct,hard_hints,medium_attempts,medium_correct,medium_hints,q1,q2,q3,q4,q5,gender,age,survey_schema_version,survey_submitted_at
AMocGPsAqdMQ2UdiyLBAoxnaT3m1,16,7,1,1,1,0,10,6,2,,,,,,,,,
Aib8yhWwBbV7GYE0viqak0Ujcr13,2,2,0,0,0,0,2,2,0,,,,,,,,,
BVAdNChPCYgT6n8mgoPJEGJpw9b2,8,2,1,1,1,0,3,3,0,,,,,,,,,
CJmRUdD2HqYDPYlI8z6ddlEuR222,2,1,3,0,0,0,4,1,1,,,,,,,,,
CPVY41s8WBMefzPGtzWQCsxIRum1,2,1,0,1,0,0,1,1,0,,,,,,,,,
CZp1ocmsJTUbeK5tyf8gMJogEwB3,17,15,2,1,0,0,10,6,0,,,,,,,,,
DSYjVzsl5kUjHIPyAlxMSyM03yp1,0,0,0,0,0,0,1,1,0,,,,,,,,,
DsE15FTlUyWVLqTxWrp9XoefhFd2,4,4,0,15,7,5,5,5,0,,,,,,,,,
EJnlNwuH59TAdKYGuwKMviS3c5G2,12,1,1,0,0,0,1,1,0,,,,,,,,,
FESee21UYJQjtLpuoo664LjOyFw2,2,1,0,0,0,0,0,0,0,,,,,,,,,
FV0hd6cN66efs4QAQv196GAsMsy2,1,1,0,1,1,0,0,0,0,,,,,,,,,
G0pOuoEYIlMEhfa20LKfxfRgyrl1,34,11,6,12,0,0,23,11,1,,,,,,,,,
GIUi3I4R75ScISfV1no7L9Ybh383,2,2,0,0,0,0,2,2,3,,,,,,,,,
Gzlk978sy3TidRREw4FPMG1VDI72,2,2,0,1,1,0,5,1,2,,,,,,,,,
H2eGbwy1pZU2MOg090z32Pi2emn1,3,3,0,1,1,0,8,1,3,,,,,,,,,
HHkwzWA0EhcQhiHfbGVRX69R3a53,0,0,0,2,2,0,1,1,0,,,,,,,,,
HMDYzP3uLZWk0MO7VVZGHYAPkq23,2,2,0,11,2,0,14,12,0,,,,,,,,,
HQ61pAcpgfUtcqOD5c1IHjp7WfK2,1,1,0,0,0,0,0,0,0,,,,,,,,,
I75VfmmEWaeh13Li8QbvVAjOq422,6,4,1,0,0,0,3,3,0,,,,,,,,,
I8WoM8FwxNSdY9X0NOF91FZcAjp2,1,1,0,4,1,1,7,7,0,,,,,,,,,
I9lwXk2K8oUoIcFVUWJQWOsZr8f1,5,4,0,0,0,0,3,2,0,,,,,,,,,
IOHFwsmPcFdwJhybYS9UV0bqskl2,0,0,0,3,1,1,2,1,0,,,,,,,,,
IkKeuUI6jnNKZT8Q8xQv4PrNTcv2,5,5,0,0,0,0,17,3,2,,,,,,,,,
KxmwvogTcZdgqhyrYgatqO1p5K53,3,3,0,0,0,0,25,3,2,,,,,,,,,
L9oWVyQBdKYiX3gvZmXjjuMpEwv2,4,4,1,0,0,0,2,2,0,,,,,,,,,
LxCum0cGGiWV9ybxYhwYwBBXsGc2,2,2,0,0,0,0,7,3,4,,,,,,,,,
M49ib2jo0TWWxU9dL6xGFObY38U2,1,1,0,0,0,0,2,1,0,,,,,,,,,
MF9xUChHrbMZzDaihhGjXFITNFe2,14,7,0,0,0,12,95,1,0,,,,,,,,,
MHXlTuJQ8dM7lAQYPAeI1BDbgg63,2,2,0,0,0,0,3,2,0,,,,,,,,,
MZEAvbvaX1SFbQYlr6Ga8LEvWQ33,3,0,1,0,0,0,0,0,0,,,,,,,,,
NYs6zVbw5LgWcx8tbxHBEvyYGUA3,2,2,0,3,3,0,2,2,0,,,,,,,,,
NxnfzsD9E0UsvRwNq3guxxx8L1S2,4,4,0,7,3,0,24,6,0,,,,,,,,,
OIW8F7UcmKS8ayWkwpDFSmIWbnS2,11,10,2,12,0,1,21,7,2,,,,,,,,,
P5bJPWmJ3ENeoq4UPgNx0FpSC1u1,3,3,0,2,2,0,7,3,0,,,,,,,,,
P9FrQQy78LUNFwKZbZGPfMAUWyM2,9,8,0,2,1,1,17,8,3,,,,,,,,,
PGIhMn3deMWUoprpx6uUgr7ASgh1,32,6,0,0,0,0,1,1,0,,,,,,,,,
PtfXF3VNY1eOKTv53ZlBgrPJwDh2,12,2,1,29,1,2,2,2,0,,,,,,,,,
QAYZFkhizDgScooIcLIm6etxt4u2,7,2,1,7,0,1,5,3,0,,,,,,,,,
QSqo86cGjIhpItiRsILLF7vfbao2,4,4,0,0,0,0,8,2,0,,,,,,,,,
QT7kTB1odgQfZyhXCVG3sqLAHOH3,2,2,0,0,0,0,2,2,1,,,,,,,,,
QuIzQM3D36XuW5RaAW4vITOoEqC3,2,2,1,1,1,0,4,3,0,,,,,,,,,
RLvb5uTfXNXUDqCGvjwbvkhvdl12,2,2,0,19,0,4,0,0,0,,,,,,,,,
Ry8gbsMJtsQaYIja1DagpxzmdBn1,7,7,0,0,0,0,3,1,0,,,,,,,,,
T0trrTZS4ChHjwRr39eheZcKG1b2,3,3,0,24,0,3,3,3,0,,,,,,,,,
TjtTr7tKiggznobWnZFy8L5cTym2,0,0,0,49,7,3,5,5,0,,,,,,,,,
UVDbhGvkLZhynHYMaTo4ASTaNbv1,2,2,0,4,3,0,4,3,0,,,,,,,,,
V1WteC8RZOPN0pIX6Tjj0anzMfw2,9,6,0,4,1,1,9,6,0,,,,,,,,,
VOZpPD9tt5edEAhBZWg0D2mpxoF3,5,2,0,0,0,0,38,2,1,,,,,,,,,
VsdBpEosVTWvnqHm8hmMCSaSaQx1,1,1,0,7,2,1,4,3,0,,,,,,,,,
XVkiwNCg9aYYIBRogBE2wXiLiIv1,1,1,0,0,0,0,1,0,0,,,,,,,,,
Xb0BuWa2SiMUddQ1lsstvWlHHBt1,1,1,0,0,0,0,1,1,0,,,,,,,,,
Yj12Yt6ekiWYbd5HiZFbwZKgqdf1,5,4,0,3,1,5,13,6,1,,,,,,,,,
Ynom7WqWjMbaK9j2F3S89LneR3H3,5,3,0,2,1,2,4,2,0,,,,,,,,,
YzOPrx5wTOdvLhiYZzVmAa60EtY2,8,5,0,1,1,0,5,4,3,,,,,,,,,
ZRL6M19xZ4PJ5qnJwbrBqLBUOqI3,0,0,0,1,0,0,0,0,0,,,,,,,,,
a8nPv12hH8VJPX3xvSSi0Xl6S2k2,3,2,0,0,0,0,56,1,1,,,,,,,,,
aU8eGh976ROjlf8YENIiwVrBTv02,1,1,2,0,0,0,4,2,0,,,,,,,,,
ahRQoPg0aAMOtrnrxXAwNxcTMdf1,6,5,0,5,0,0,25,2,4,,,,,,,,,
at3707KvHnPJoQ6K4NZyzK2ak3r1,2,2,0,1,0,0,6,4,2,,,,,,,,,
b47EJP2VNrMStRtBCU2NpT9Ehqp2,2,2,0,12,8,3,8,6,1,,,,,,,,,
b8VTDbsMnRMm9v2WsiuWM2JfR852,3,3,0,0,0,2,4,3,0,,,,,,,,,
bpWmaWQ55GfJ2WCKrvtyz90Q0hA3,2,2,0,1,1,0,3,2,0,,,,,,,,,
c0UtvaXZgrXLGXgKiKdqVKYkBeG2,3,3,0,0,0,0,47,2,8,,,,,,,,,
c1TUXcFhY8SDg1TT6AUu7eyzleh1,3,3,0,12,4,4,8,5,0,,,,,,,,,
cdBv1xh32qZIAKJtK4rk9ttqG4K2,5,5,0,0,0,0,13,3,0,,,,,,,,,
csuwtzUiX3RbsiKgoChBmiXdKn23,17,2,1,0,0,0,0,0,0,,,,,,,,,
d0KzQ47b6MbV5pdU4odc0pt6UjU2,8,5,0,0,0,0,69,5,0,,,,,,,,,
dB2xeWsUAaNtK4dP0vRcY8czQza2,7,6,0,0,0,0,6,3,0,,,,,,,,,
eOwKHuCEzVNxjpRMOySAYwKuA282,4,3,1,0,0,0,2,1,0,,,,,,,,,
fM0pZKfrQiPjvmNQHD9QHuwVaIA2,3,3,0,15,0,0,28,3,0,,,,,,,,,
fY29bkXzXKON1ZBT1ncVzZ7Tj4g1,1,1,0,0,0,0,0,0,0,,,,,,,,,
ffbg7sy2BmS0WfLSJqkbbGk6KAI3,17,5,0,7,3,0,3,3,0,,,,,,,,,
fpfHTn4LdMf54ZDIVLi7nWQD0F62,27,6,0,21,3,0,8,6,0,,,,,,,,,
fsp8TLK4ZzWVZcw9TKGuyg3t0dF3,1,1,0,0,0,0,1,1,0,,,,,,,,,
gc4yrF4VPYPyu9Ba4gR4sejTsRW2,14,7,0,1,1,0,6,3,1,,,,,,,,,
hSuPoUYo14Nta6lSAU7bzcLe0SC3,9,8,0,0,0,0,11,8,1,,,,,,,,,
heLoZpexf1YUXO3ApEXAKXlADMB3,9,9,0,37,1,0,54,23,2,4,5,3,4,1,male,12,2,2026-03-18T07:32:07.608000+00:00
hfbHfJllZnbIyfED1DR6jPusBUE3,1,1,0,0,0,0,1,1,0,5,3,5,5,2,male,56,2,2026-03-12T09:19:36.180000+00:00
ieupyGIFObTNHfCFEOzvAkKkLVC2,4,4,0,0,0,0,5,3,0,,,,,,,,,
joNH9RkUu4OKLlnqJ1zQB3D2zAb2,2,2,0,0,0,0,37,0,3,,,,,,,,,
jtO7XozXMvPz1G1joIsRJkUFx1q1,4,4,0,0,0,0,5,1,0,,,,,,,,,
kgSNUn9a4LW7IoXy7Rrooh0Zblv2,6,4,0,2,1,1,17,8,1,,,,,,,,,
lAHcLLJcM4V4N9jlXcz69OsHa1H3,8,7,0,0,0,1,13,7,0,,,,,,,,,
lE1BewEBd1Vvk0i3EnLjZ9MmNNE3,2,2,0,0,0,0,0,0,0,,,,,,,,,
lTR1qMRm8gNhkc2gk16gYTrVMjJ2,3,1,0,0,0,0,0,0,0,,,,,,,,,
lw9XhXmL23YM3UCg9wtKiqVPwgp2,11,3,0,0,0,0,3,2,0,5,2,2,1,3,female,10,2,2026-03-16T13:15:37.144000+00:00
md1EU61uxrSQqAUGvziijg9Pa3u2,5,3,0,0,0,0,3,0,1,,,,,,,,,
mvbXo4ARecYBwwDI1yLFHb9BrdQ2,13,9,0,3,1,1,21,10,0,4,4,2,2,2,male,10,2,2026-03-16T09:39:21.066000+00:00
nQwDjXMZtvfWehekIF2bqOsFKJt1,2,2,2,0,0,0,1,1,3,,,,,,,,,
nS3qZZ7f6fYTgiYT9jqQeZtzXTg2,9,6,1,0,0,0,8,5,0,,,,,,,,,
nuxIKMQTUtc9EIRqL1rngFZGWI63,14,4,1,0,0,0,5,2,0,,,,,,,,,
oJqDiMgjYgU864hO5EGPo3vTVr52,10,1,1,0,0,0,0,0,0,,,,,,,,,
ooIihD3V5IWOmRpggvex92czuzj2,2,2,0,0,0,0,0,0,0,,,,,,,,,
ovE3T2TGRAdrWKCBofv5LBZrVo73,1,1,0,3,2,0,4,3,0,,,,,,,,,
phAuK0WJ9fOaWhC9lvLHrkNF1112,6,5,0,7,0,1,49,8,0,,,,,,,,,
phuS57Eo87cQ7HDgOFd3YJltDOc2,0,0,0,0,0,0,2,1,0,,,,,,,,,
qEIrLmXnjVdsOlu7GODTKSVPADl2,5,5,0,0,0,0,1,1,0,,,,,,,,,
qkr8pGgDkecXrToRIGTUFUHfECT2,4,0,3,0,0,0,2,1,1,,,,,,,,,
r4nUA5rjRmcEdAeCMYgENDdXQ3C3,2,2,0,15,0,1,1,1,0,,,,,,,,,
r87xZs8GXUh4R44M3iYAEWOMgaU2,8,5,0,1,1,0,4,3,0,,,,,,,,,
rGn0ZG1jFYbX2rbZ2ZxOBtHeSjH3,1,1,0,0,0,0,0,0,0,,,,,,,,,
rUDTcBdLv5RsVJikl4QksCuPWF12,2,2,0,0,0,0,0,0,0,,,,,,,,,
riWKrTAbQOPlIgtWZ9VvO09v6xR2,3,3,0,1,1,0,1,1,0,,,,,,,,,
sC5ZGN2FuaTZHOWB91eViAhemZ33,1,1,0,0,0,0,0,0,0,,,,,,,,,
sYKoVFRgqxPfqrMrQdV5GW5gxh22,1,1,0,3,1,1,2,2,0,,,,,,,,,
siRD7zJJsveh66xTl3YnoV1ExiS2,2,1,0,1,1,0,1,1,0,,,,,,,,,
snO0mMBscESfAmlYitnXwmNeaG93,3,3,0,0,0,0,11,0,0,,,,,,,,,
tJOVf70KvlMyKbyVUg4WOxhVo0z2,8,6,0,2,1,0,12,5,1,,,,,,,,,
u9HOcWsMjPcq8bcnnvr8p65aGri1,2,1,0,0,0,0,11,2,0,,,,,,,,,
uJy27OOLKBeDoxAUD7HU804zzCv2,4,4,0,1,0,0,5,4,1,,,,,,,,,
ujL6goVNnqOypxEXeEUYVTs6a1F2,3,2,0,0,0,0,2,1,0,,,,,,,,,
v12dzZpBx8X7dJFA9IZhe5oW78Z2,1,1,1,0,0,0,1,1,0,,,,,,,,,
vOvqzUUB3xg3MVrtAzHpiEWAgBk1,5,5,0,2,2,0,8,5,1,,,,,,,,,
wFxq1JMyVpbQydZrkfKOMQzRURu1,7,5,0,1,1,0,5,4,0,,,,,,,,,
wJGkowdfdPXda1yOjnxtLqNYEPx1,2,2,0,0,0,0,1,1,0,,,,,,,,,
wXeCiAbyNKgWopR3zMZE82iISNz1,2,2,0,0,0,2,0,0,0,4,3,3,1,1,female,11,2,2026-03-16T13:14:39.894000+00:00
x3kf7wshQhcUkwfCGaT6TtHCxHc2,3,3,0,0,0,0,14,1,1,,,,,,,,,
xeWhzrjVccMlzs60AeieJO9CzV83,1,1,0,3,1,0,3,1,0,,,,,,,,,
y9VHZNhXuxVDcQESwn8AxMy4pIL2,12,11,0,0,0,0,34,2,1,,,,,,,,,
yKE7hN5gbAbq1gQ4GIeaUyp0ucF2,9,0,0,0,0,0,0,0,0,,,,,,,,,
yYO6ScbRcDUK9Mo9OwQzQuIS05o2,5,4,0,0,0,0,0,0,0,,,,,,,,,
zAkdktVu2VZyhASntCfSYjCMO9o1,0,0,1,0,0,0,12,0,0,,,,,,,,,
zyiYXbUDxpNYxMPEI7KlOCeQrUF3,2,2,0,3,2,0,4,2,0,,,,,,,,,
